epi_sunday,RA,cases,incidencia_100k,populacao,prediction,config,modelo
2025-08-31,ARAPOANGA,1.0,2.0138553246334783,49656,1.2764874781406421,lag-only,RF
2025-09-07,ARAPOANGA,0.0,0.0,49656,0.34792850063247993,lag-only,RF
2025-09-14,ARAPOANGA,2.0,4.0277106492669565,49656,1.254085283192722,lag-only,RF
2025-09-21,ARAPOANGA,0.0,0.0,49656,0.6219877076903395,lag-only,RF
2025-09-28,ARAPOANGA,1.0,2.0138553246334783,49656,0.7380935015865915,lag-only,RF
2025-10-05,ARAPOANGA,0.0,0.0,49656,0.46732393936039623,lag-only,RF
2025-10-12,ARAPOANGA,1.0,2.0138553246334783,49656,0.5532713920943213,lag-only,RF
2025-10-19,ARAPOANGA,0.0,0.0,49656,0.9094734716531869,lag-only,RF
2025-10-26,ARAPOANGA,0.0,0.0,49656,0.33876208073605224,lag-only,RF
2025-11-02,ARAPOANGA,2.0,4.0277106492669565,49656,0.305931362906529,lag-only,RF
2025-11-09,ARAPOANGA,2.0,4.0277106492669565,49656,0.5652008451065347,lag-only,RF
2025-11-16,ARAPOANGA,1.0,2.0138553246334783,49656,0.5943581493453316,lag-only,RF
2025-11-23,ARAPOANGA,0.0,0.0,49656,0.6498646726225661,lag-only,RF
2025-11-30,ARAPOANGA,2.0,4.0277106492669565,49656,1.6910367898589969,lag-only,RF
2025-12-07,ARAPOANGA,1.0,2.0138553246334783,49656,0.6219877076903395,lag-only,RF
2025-12-14,ARAPOANGA,2.0,4.0277106492669565,49656,0.34792850063247993,lag-only,RF
2025-12-21,ARAPOANGA,0.0,0.0,49656,1.7439341363409904,lag-only,RF
2025-12-28,ARAPOANGA,0.0,0.0,49656,1.8970156561189606,lag-only,RF
2025-01-05,ARNIQUEIRA,1.0,2.20696961002847,45311,0.008902488912592509,lag-only,RF
2025-01-12,ARNIQUEIRA,0.0,0.0,45311,0.32679582129713475,lag-only,RF
2025-01-19,ARNIQUEIRA,0.0,0.0,45311,0.24004312230502786,lag-only,RF
2025-01-26,ARNIQUEIRA,1.0,2.20696961002847,45311,0.305931362906529,lag-only,RF
2025-02-02,ARNIQUEIRA,3.0,6.62090883008541,45311,0.6041724782235434,lag-only,RF
2025-02-09,ARNIQUEIRA,0.0,0.0,45311,1.6301773505246606,lag-only,RF
2025-02-16,ARNIQUEIRA,0.0,0.0,45311,1.5612567047090327,lag-only,RF
2025-02-23,ARNIQUEIRA,0.0,0.0,45311,1.0982510508396324,lag-only,RF
2025-03-02,ARNIQUEIRA,0.0,0.0,45311,1.032569800370637,lag-only,RF
2025-03-09,ARNIQUEIRA,0.0,0.0,45311,0.008902488912592509,lag-only,RF
2025-03-16,ARNIQUEIRA,0.0,0.0,45311,0.008902488912592509,lag-only,RF
2025-03-23,ARNIQUEIRA,1.0,2.20696961002847,45311,0.008902488912592509,lag-only,RF
2025-03-30,ARNIQUEIRA,0.0,0.0,45311,0.32679582129713475,lag-only,RF
2025-04-06,ARNIQUEIRA,0.0,0.0,45311,0.24004312230502786,lag-only,RF
2025-04-13,ARNIQUEIRA,2.0,4.41393922005694,45311,0.305931362906529,lag-only,RF
2025-04-20,ARNIQUEIRA,2.0,4.41393922005694,45311,0.5652008451065347,lag-only,RF
2025-04-27,ARNIQUEIRA,1.0,2.20696961002847,45311,0.5943581493453316,lag-only,RF
2025-05-04,ARNIQUEIRA,0.0,0.0,45311,0.6498646726225661,lag-only,RF
2025-05-11,ARNIQUEIRA,0.0,0.0,45311,1.6910367898589969,lag-only,RF
